trigram,freq
"('keep', 'thing', 'moving')",13
"('making', 'sure', 'fun')",8
"('spend', 'lot', 'time')",5
"('fudge', 'dice', 'roll')",4
"('random', 'encounter', 'table')",4
"('dont', 'sweat', 'small')",4
"('keep', 'flow', 'going')",4
"('keep', 'thing', 'interesting')",4
"('dont', 'afraid', 'change')",4
"('great', 'dd', 'game')",4
"('sweat', 'small', 'stuff')",4
"('keep', 'action', 'moving')",4
"('dont', 'rule', 'lawyer')",3
"('dm', 'screen', 'initiative')",3
"('idea', 'session', 'will')",3
"('character', 'moment', 'shine')",3
"('flying', 'seat', 'pant')",3
"('pop', 'culture', 'reference')",3
"('list', 'npc', 'name')",3
"('character', 'dont', 'afraid')",3
"('list', 'name', 'npc')",3
"('music', 'help', 'set')",3
"('change', 'thing', 'fly')",3
"('preparation', 'preparation', 'preparation')",3
"('npc', 'plot', 'hook')",3
"('side', 'quest', 'ready')",3
"('rule', '1', 'fun')",2
"('roll', 'win', 'combat')",2
"('sure', 'immersed', 'feel')",2
"('music', 'set', 'mood')",2
"('side', 'quest', 'npc')",2
"('good', 'guy', 'bad')",2
"('flexible', 'ready', 'improvise')",2
"('combat', 'encounter', 'fly')",2
"('element', 'character', 'backstory')",2
"('spend', 'time', 'preparing')",2
"('allow', 'role', 'play')",2
"('help', 'build', 'character')",2
"('light', 'low', 'light')",2
"('dont', 'slave', 'text')",2
"('making', 'sure', 'immersed')",2
"('focus', 'story', 'element')",2
"('chance', 'shine', 'session')",2
"('read', 'angry', 'gm')",2
"('dungeon', 'style', 'front')",2
"('wizard', 'tower', 'dungeon')",2
"('event', 'previous', 'session')",2
"('ac', 'passive', 'perception')",2
"('monster', 'stat', 'block')",2
"('playlist', 'set', 'mood')",2
"('recap', 'start', 'session')",2
"('orc', 'rolling', '20')",2
"('throw', 'prep', 'window')",2
"('develop', 'story', 'combat')",2
"('small', 'thing', 'hook')",2
"('making', 'sure', 'character')",2
"('character', 'backstory', 'plot')",2
"('expect', 'keep', 'fun')",2
"('dont', 'prep', 'plot')",2
"('balance', 'roleplay', 'combat')",2
"('quest', 'ready', 'party')",2
"('randomly', 'rolling', 'd20')",2
"('help', 'keep', 'track')",2
"('dont', 'spend', 'time')",2
"('plot', 'twist', 'create')",2
"('encounter', 'side', 'quest')",2
"('making', 'party', 'feel')",2
"('card', 'initiative', 'order')",2
"('character', 'background', 'play')",2
"('critical', 'fails', 'funny')",2
"('text', 'flavor', 'text')",2
"('initiative', 'order', 'card')",2
"('awesome', 'thing', 'happen')",2
"('idea', 'making', 'sure')",2
"('critical', 'success', 'failure')",2
"('fun', 'dont', 'afraid')",2
"('guy', 'bad', 'guy')",2
"('making', 'sure', 'feel')",2
"('dont', 'railroad', 'party')",2
"('remember', 'main', 'character')",2
"('open', 'ended', 'question')",2
"('session', 'session', 'write')",2
"('keep', 'track', 'initiative')",2
"('plot', 'hook', 'fun')",2
"('event', 'will', 'occur')",2
"('describe', 'sens', 'keep')",2
"('narrative', 'heavy', 'lifting')",2
"('change', 'story', 'fit')",2
"('character', 'choice', 'matter')",2
"('help', 'set', 'tone')",2
"('based', 'party', 'action')",2
"('prep', 'plot', 'prep')",2
"('screen', 'initiative', 'order')",2
"('compelling', 'story', 'pc')",2
"('npc', 'will', 'react')",2
"('break', 'great', 'game')",2
"('favorite', 'trick', 'running')",2
"('background', 'music', 'help')",2
"('dont', 'afraid', 'improvise')",2
"('character', 'making', 'sure')",2
"('story', 'combat', 'puzzle')",2
"('plot', 'point', 'location')",2
"('fun', 'drive', 'story')",2
"('pc', 'background', 'story')",2
"('ahead', 'time', 'easy')",2
"('keep', 'pace', 'moving')",2
"('will', 'naturally', 'grow')",2
"('note', 'prepared', 'improvise')",2
"('hang', 'dm', 'screen')",2
"('story', 'trump', 'rule')",2
"('trick', 'running', 'great')",2
"('drive', 'story', 'forward')",2
"('published', 'adventure', 'dont')",2
"('dont', 'prepare', 'specific')",2
"('describe', 'killing', 'blow')",2
"('fly', 'seat', 'pant')",2
"('keep', 'coming', 'table')",2
"('letting', 'develop', 'story')",2
"('afraid', 'change', 'story')",2
"('role', 'playing', 'npc')",2
"('game', 'find', 'fun')",2
"('combat', 'keep', 'thing')",2
"('spend', 'prep', 'time')",2
"('colorful', 'npc', 'choice')",2
"('trick', 'lot', 'planning')",2
"('making', 'sure', 'engaged')",2
"('moment', 'character', 'shine')",2
"('tie', 'character', 'story')",2
"('freedom', 'sandbox', 'style')",2
"('solution', 'letting', 'creative')",2
"('help', 'set', 'mood')",2
"('character', 'chance', 'shine')",2
"('list', 'random', 'name')",2
"('prepared', 'improvise', 'lot')",2
"('card', 'dm', 'screen')",2
"('dont', 'afraid', 'rule')",2
"('great', 'deal', 'time')",2
"('perception', 'check', 'dont')",2
"('sandbox', 'style', 'game')",2
"('dont', 'feel', 'railroaded')",2
"('include', 'pc', 'background')",2
"('sure', 'moment', 'shine')",2
"('4e', 'skill', 'challenge')",2
"('music', 'sound', 'effect')",2
"('consequence', 'good', 'bad')",2
"('flavor', 'text', 'flavor')",2
"('monster', 'stat', 'card')",2
"('afraid', 'change', 'thing')",2
"('making', 'sure', 'party')",2
"('seat', 'pant', 'time')",2
"('play', 'fast', 'loose')",2
"('improv', 'skill', 'key')",2
"('leave', 'option', 'open')",2
